street	intersections	agencies	number_violations
18th Ave	s/of ocean pky|n/of e 9th st|e/of 80th st|e/of mcdonald a|e/of 78th st|w/of 86th st|s/of 57th st|e/of e 9th st|e/of 72nd st|n/of bay ridge|w/of 64th st|e/of 46th st|n/of rutherford|w/of ocean ave|s/of benson ave|n/of 71st st|w/of 56th st|s/of 46th st|e/of e 2nd st|e/of 76th st|s/of 86th st|s/of 82nd st|w/of 45th st|e/of 56th st|n/of 72nd st|w/of 50th st|s/of 53rd st|e/of dahill rd|e/of e 46th st|s/of 54th st|w/of 63rd st|s/of 55th st|w/of cropsey av|n/of new utrecht|on 64th street|n/of 63rd st|e/of e 4th st|s/of e 9th st|w/of 53rd st|s/of e 5th st|e/of cropsey av|s/of shore pky|w/of 65th st|e/of 53rd st|s/of 67th st|w/of coney isla|e/of 82nd st|e/of e 8th st|s/of 80th st|e/of ocean ave|n/of 53rd st|w/of ocean pky|n/of 83rd st|e/of mcdonald av|e/of 45th st|n/of 49th st|n/of 52nd st|n/of 59th st|n/of 67th st|e/of 65th st|w/of 57th st|n/of 60th st|w/of 78th st|w/of 70th st|n/of bath ave|s/of 45th st|on 66th street|s/of 44th st|w/of bay ridge a|n/of 57th st|w/of 7th ave|e/of ocean pky|s/of 56th st|n/of 56th st|w/of coney islan|n/of 51st st|w/of e 8th st|s/of 48th st|w/of coney isl|w/of e 7th st|e/of 52nd st|w/of e 9th st|s/of bath ave|s/of 59th st|n/of 54th st|e/of 51st st|s/of 52nd st|s/of 81st st|n/of shore pky|s/of 79th st|e/of 60th st|n/of 77th st|s/of 50th st|n/of 81st st|s/of 49th st|e/of e 7th st|s/of coney isla|n/of 58th st|s/of 18th st|n/of 86th st|n/of 61st st|n/of cropsey av|e/of webster av	T	5533
18TH AVE	67th street|64th street	P|S	90
18TH AVENUE		P	11
18th St	w/of 4th ave|w/of terrace pl|e/of 7th ave|s/of 11th ave|w/of prospect p|e/of 20th ave|e/of 11th ave|s/of prospect|e/of 6th ave|s/of 7th ave|n/of 10th ave|e/of 8th ave|s/of seeley st|n/of 11th ave|e/of 3rd ave|s/of 10th ave|n/of kings hwy|s/of tennis ct|w/of seeley st|w/of 7th ave|e/of 4th ave|w/of 11th ave|e/of prospect p|s/of terrace pl|n/of vanderbilt|w/of 6th ave|w/of 10th ave|s/of prospect p|n/of 7th ave|s/of 52nd st|w/of 5th ave|e/of mcdonald a|w/of prospect pa|n/of terrace pl|e/of 5th ave|n/of seeley st|n/of tennis ct|w/of vanderbil|n/of 6th ave	T	769
19 AVE		S|P	52
19 AVENUE		S|P	309
19 ST	3 ave	P	20
19 STREET		S|P	184
19th Ave	s/of 85th st|s/of 63rd st|s/of 59th st|s/of benson ave|s/of 77th st|e/of 85th st|s/of 76th st|s/of 52nd st|e/of 86th st|e/of 68th st|s/of 19th ln|n/of 64th st|w/of 48th st|n/of 67th st|s/of 84th st|e/of 77th st|e/of 59th st|s/of 54th st|w/of 58th st|w/of 64th st|w/of 52nd st|w/of 19th ln|s/of 58th st|s/of 81st st|e/of shore pky|s/of 66th st|n/of 77th st|s/of 67th st|n/of 59th st|e/of 66th st|n/of 66th st|s/of 51st st|n/of benson ave|n/of shore pky|n/of 50th st|e/of 50th st|s/of 50th st|w/of 76th st|s/of 60th st|w/of 51st st|n/of 54th st|n/of 85th st|w/of 7th ave|e/of 51st st|w/of 67th st|w/of 59th st|s/of 65th st|e/of 71st st|s/of 48th st|w/of 85th st|n/of 86th st|s/of 86th st|n/of 81st st|e/of 52nd st|s/of 53rd st|n/of 52nd st|n/of 61st st|n/of 62nd st|s/of bay ridge|e/of 76th st|s/of 20th dr|e/of 54th st|n/of 63rd st|w/of 63rd st|n/of bay ridge p	T	918
19TH AVE		P	35
19TH AVENUE		P	4
19th Ln	s/of 19th ave|s/of 20th dr|w/of 20th dr|e/of 20th dr|e/of 19th ave	T	57
19th St	n/of seeley st|w/of 5th ave|w/of seeley st|s/of prospect|w/of 8th ave|e/of 5th ave|s/of seeley st|n/of 8th ave|n/of prospect|s/of 10th ave|e/of 4th ave|s/of quentin rd|e/of 20th ave|e/of seeley st|n/of prospect p|e/of 10th ave|s/of 7th ave|w/of 4th ave|n/of 7th ave|e/of 6th ave|s/of 11th ave|s/of 6th ave|w/of 6th ave|e/of 7th ave|w/of 10th ave|w/of prospect p|e/of prospect|w/of prospect|n/of 4th ave|s/of 5th ave|e/of 8th ave|w/of 7th ave|n/of 10th ave|e/of 11th ave|n/of avenue n	T	853
1st Ave	e/of 55th st|s/of 56th st|n/of 56th st|s/of 43rd st|s/of 50th st|n/of 54th st|e/of 44th st|e/of 48th st|e/of 56th st|w/of 39th st|w/of 54th st|s/of 57th st|s/of 42nd st|n/of 51st st|n/of 52nd st|s/of 39th st|s/of 60th st|s/of 53rd st|n/of 44th st|s/of 51st st|w/of 53rd st|e/of 54th st|e/of 42nd st|n/of 42nd st|s/of 44th st|n/of 55th st|s/of 34th st|s/of 36th st|e/of 57th st|n/of 48th st|s/of 48th st|n/of 58th st|w/of 56th st|n/of 49th st|e/of 53rd st|s/of 52nd st|w/of 44th st|n/of 47th st|s/of 47th st|n/of 50th st|w/of 48th st|w/of 43rd st|w/of 42nd st|s/of 55th st	T	537
1ST AVE		P	4
1st Ct	e/of e 9th st|w/of coney islan	T	81
1st Pl	w/of smith st|e/of court st|e/of bond st|s/of court st|fire zone|w/of bond st|s/of smith st|w/of court st|e/of clinton st|e/of smith st	T	375
1ST PL		P	5
1ST PLACE		P	12
1st St	w/of 5th ave|e/of whitwell p|e/of prospect p|s/of 8th ave|e/of 4th ave|w/of 6th ave|w/of 8th ave|n/of bond st|e/of prospect|1|n/of prospect p|w/of kent ave|w/of prospect pa|e/of bond st|w/of 4th ave|n/of denton pl|e/of 3rd ave|e/of hoyt st|e/of 7th ave|w/of bond st|s/of bond st|e/of denton pl|e/of 5th ave|s/of hoyt st|e/of 6th ave|w/of prospect p|e/of 8th ave|n/of 5th ave|s/of 4th ave|w/of hoyt st|w/of prospect|w/of court st|w/of 7th ave|s/of 5th ave	T	1868
2 AVE		P	19
2 AVENUE		P|S	512
2 PL		P	9
2 PLACE		P|S	43
2 ST		P	4
2 STREET		P|S	185
20 AVE		P	52
20 AVENUE		S|P	828
20 DRIVE		P|S	10
20 ST		P	44
20 STREET		S|P	179
20TH AVE	20th ave	P	26
