street	intersections	agencies	number_violations
3rd Ave	s/of e 73rd st|n/of e 9th st|s/of e 86th st|n/of e 85th st|s/of e 49th st|s/of e 45th st|s/of e 74th st|s/of e 81st st|s/of e 127th st|s/of e 75th st|n/of e 79th st|s/of e 50th st|n/of e 30th st|n/of e 82nd st|n/of e 90th st|n/of e 71st st|s/of e 96th st|n/of e 115th st|n/of e 115th s|s/of e 62nd st|n/of e 49th st|n/of e 72nd st|n/of e 96th st|n/of e 13th st|s/of e 32nd st|s/of e 55th st|s/of e 70th st|s/of e 12th st|n/of e 64th st|s/of e 95th st|n/of e 68th st|s/of e 14th st|s/of e 27th st|s/of e 65th st|s/of e 34th st|s/of e 94th st|n/of e 93rd st|s/of e 30th st|s/of e 37th st|n/of e 20th st|s/of w 24th st|s/of e 89th st|s/of e 40th st|s/of w 116th st|e/of e 64th st|e 37th st|n/of e 125th st|n/of e 14th st|n/of e 97th st|w/of e 62nd st|n/of st marks p|n/of e 38th st|s/of e 36th st|n/of e 87th st|s/of e 97th st|n/of lexington|s/of e 58th st|w/of e 12th st|s/of e 126th st|n/of e 111th st|w/of e 96th st|s/of e 29th st|s/of e 122nd st|s/of e 128th st|e/of e 57th st|n/of e 27th st|n/of e 4th st|w/of e 24th st|s/of e 83rd st|s/of e 125th st|s/of w 14th st|w/of e 58th st|s/of w 69th st|in front of j 's cle|s/of e 25th st|n/of e 21st st|n/of e 112th s|s/of e 116th st|n/of e 109th st|w/of e 68th st|w/of e 61st st|e/of e 95th st|n/of e 116th st|n/of e 15th st|in front of j''s cle|w/of e 94th st|w/of e 66th st|n/of e 56th st|w/of e 71st st|w/of e 75th st|s/of e 128th s|n/of e 107th st|s/of e 35th st|w/of e 97th st|n/of e 124th st|front of j's cleaner|e 109 st|n/of cooper sq|e/of e 14th st|s/of e 105th st|in front of symbelle|w/of e 86th st|s/of e 118th st|front of bleu s b ha|n/of e 7th st|s/of astor pl|s/of w 35th st|e/of lexington|e/of e 74th st|n/of w 109th st|e/of lexington a|n/of w 14th st|s/of w 42nd st|s/of w 54th st|e/of e 59th st|s/of e 109th st|e 121 st|e/of e 90th st|w/of e 59th st|e 77 st|n/of e 45th st|s/of e 84th st|n/of e 77th st|s/of e 63rd st|s/of e 69th st|n/of e 81st st|n/of e 12th st|s/of e 10th st|s/of e 42nd st|n/of e 92nd st|n/of e 80th st|s/of e 114th st|s/of e 26th st|s/of e 9th st|n/of e 89th st|s/of e 60th st|s/of e 53rd st|n/of astor pl|n/of e 17th st|s/of e 87th st|s/of e 64th st|n/of e 62nd st|n/of e 119th st|s/of e 79th st|n/of e 48th st|n/of e 91st st|s/of e 43rd st|e/of e 68th st|n/of e 29th st|n/of e 74th st|n/of e 10th st|n/of e 121st st|s/of st marks p|s/of e 54th st|s/of e 23rd st|n/of e 41st st|n/of e 126th st|n/of e 33rd st|s/of e 11th st|s/of e 61st st|n/of e 57th st|s/of e 85th st|s/of e 88th st|s/of w 169th st|n/of e 25th st|n/of e 6th st|n/of e 43rd st|w/of e 60th st|w/of e 73rd st|n/of e 40th st|s/of lexington|n/of e 83rd st|s/of e 57th st|w/of e 77th st|n/of e 54th st|n/of e 59th st|n/of e 69th st|n/of e 63rd st|s/of e 33rd st|n/of e 117th st|n/of e 66th st|w/of e 41st st|s/of e 98th st|n/of e 75th st|n/of e 78th st|s/of e 117th st|n/of e 110th st|s/of e 67th st|e/of e 49th st|s/of e 92nd st|s/of w 87th st|e/of e 86th st|n/of e 65th st|s/of e 124th st|s/of e 59th st|n/of e 60th st|s/of e 68th st|n/of e 67th st|s/of e 17th st|e/of madison av|n/of e 122nd st|n/of e 24th st|n/of e 55th st|s/of e 56th st|e/of e 85th st|e/of e 69th st|e/of e 91st st|n/of e 105th st|w/of e 72nd st|e/of e 53rd st|n/of e 76th st|s/of e 127th s|s/of e 122nd s|s/of e 22nd st|e 126 st|e 75 st|s/of e 38th st|n/of w 124th st|e/of e 72nd st|e/of e 24th st|e/of e 83rd st|w/of e 83rd st|w/of e 85th st|n/of e 121st s|e/of e 89th st|s/of stuyvesant|n/of e 123rd st|s/of e 123rd st|front of symbele bea|s/of e 139th st|e 92 st|n/of e 104th st|e/of e 18th st|s/of e 110th st|w/of e 64th st|w/of e 82nd st|s/of e 6th st|n/of e 106th st|n/of e 126th s|n/of w 112th st|e/of e 34th st|e 123 st|s/of e 13th st|n/of e 11th st|n/of e 84th st|s/of e 72nd st|s/of e 82nd st|s/of e 78th st|n/of e 52nd st|s/of e 52nd st|n/of w 9th st|n/of e 44th st|n/of e 50th st|s/of e 77th st|n/of e 86th st|s/of e 71st st|s/of e 115th s|w/of e 70th st|n/of e 58th st|s/of e 24th st|e/of battery pl|s/of e 15th st|s/of e 80th st|n/of e 18th st|s/of e 115th st|n/of e 112th st|s/of e 39th st|s/of e 18th st|w/of e 63rd st|n/of e 34th st|s/of e 93rd st|n/of e 19th st|n/of e 47th st|n/of e 61st st|n/of e 70th st|n/of e 95th st|n/of e 35th st|s/of e 47th st|s/of e 48th st|n/of e 31st st|s/of e 16th st|n/of e 28th st|s/of e 120th st|s/of e 28th st|n/of e 22nd st|s/of e 19th st|n/of e 23rd st|s/of e 41st st|s/of e 31st st|n/of e 127th st|n/of e 120th st|n/of e 73rd st|n/of e 94th st|n/of e 53rd st|service road|n/of e 118th st|s/of e 21st st|s/of e 51st st|n/of e 26th st|s/of e 121st st|s/of e 107th st|e/of e 7th st|s/of e 66th st|s/of w 62nd st|s/of e 101st st|s/of e 90th st|s/of e 20th st|n/of e 36th st|s/of e 91st st|n/of e 32nd st|e/of e 71st st|e/of e 97th st|s/of e 76th st|s/of e 44th st|s/of w 110th st|w/of e 67th st|n/of e 42nd st|e 24 st|w/of e 42nd st|n/of e 88th st|n/of w 74th st|s/of e 46th st|n/of e 39th st|n/of e 5th st|e/of e 41st st|e/of e 32nd st|e/of e 17th st|s/of e 106th st|s/of e 99th st|w/of e 54th st|n/of w 72nd st|n/of w 52nd st|n/of e 46th st|front of symbele|w/of e 74th st|e 115 st|e 110 st|s/of e 111th st|n/of e 98th st|n/of w 89th st|w/of e 69th st|s/of e 4th st|n/of e 114th st|s/of w 29th st|w/of little wes|n/of e 51st st|1|e/of e 61st st|s/of w 15th st|w/of e 65th st|j's cleanears|n/of e 16th st|w/of e 76th st|n/of w 85th st|s/of e 7th st|n/of e 103rd st|700|s/of w 39th st|s/of w 89th st|s/of w 114th st|e/of e 35th st|n/of e 127th s|s/of e 104th st|e 95 st|s/of w 85th st	T	67386
3RD AVE	e 189 st	P|T	230
3RD AVENUE		P	88
3rd Pl	e/of battery pl|s/of battery pl|n/of e 85th st|n/of stuyvesant|e/of little wes|n/of e 16th st|s/of astor pl|w/of little wes|n/of battery pl|w/of albany st|n/of little west|s/of e 84th st|w/of battery pl|e/of battery p|n/of st marks pl|n/of liberty pl|s/of e 38th st|e/of little west|w/of west st|n/of e 26th st	T	211
41 AVE	213 st	P	5
43 AVE	39 pl	P	5
46TH STREET		P	4
4th Ave	n/of e 9th st|s/of e 14th st|s/of e 13th st|n/of e 10th st|n/of astor pl|s/of e 12th st|n/of wanamaker|n/of e 14th st|n/of e 8th st|n/of e 7th st|s/of e 11th st|n/of e 13th st|s/of e houston|n/of e 12th st|s/of e 7th st|n/of st marks pl|s/of e 10th st|s/of w 14th st|n/of e 11th st|s/of e 9th st|s/of e 17th st|n/of wanamaker p|s/of w 53rd st	T	5884
5 AVE	e 131 street	P	86
5 AVENUE		S|P	298
